idProv;Provinsi;pdrbadhk24_M;koperasi;NPL;ROA;BOPO;CAR;LDR;BPR/S;LBPR/S;LKOPERASI;KOPDES;LKOPDES;UM;UK;LUM;LUK;IMD;AI;PENETRASI;BTS;SINYAL;LBTS;LSINYAL;KCBANK;LKCBANK;Column1
11;Aceh;1537804;4161;1276;384;801;4935;717;12;248;143;773;665;106527;3999;1158;829;4359;6293;7599;1712;1367;745;722;53;397;
12;Sumatera Utara;6325347;5481;848;2;8783;2863;7885;51;393;17;1327;719;119539;7368;1169;89;4122;7415;7315;2870;1158;796;705;191;525;
13;Sumatera Barat;1994074;2275;1162;33;9647;2988;7668;78;436;82;702;655;84077;4144;1134;833;4413;7459;7514;1003;357;691;588;83;442;
14;Riau;5712336;322;1019;154;8731;3313;7977;30;34;117;852;675;60273;2090;1101;764;4442;7768;8249;1318;436;718;608;85;444;
15;Jambi;1769065;1908;1419;238;8302;4203;8596;18;289;65;529;627;33742;792;1043;667;4424;7176;8591;835;339;673;583;57;404;
16;Sumatera Selatan;3791196;431;665;26;7863;3645;7859;22;309;146;810;67;75282;1934;1123;757;41;7054;7462;1641;661;740;649;97;457;
17;Bengkulu;5445465;2033;48;579;716;2911;8282;8;208;71;355;587;25595;936;1015;684;4357;7072;8267;530;291;627;567;32;347;
18;Lampung;2815572;2263;234;267;7102;1986;875;34;353;82;544;63;77575;3680;1126;821;4207;7337;7775;1517;584;732;637;65;417;
19;Kepulauan Bangka Belitung;6080264;773;491;448;7273;2475;7533;4;139;665;165;511;15776;486;967;619;4762;7606;8483;366;208;590;534;30;340;
21;Kepulauan Riau;2099391;1186;57;171;8193;2899;8283;46;383;17;161;508;25873;394;1016;598;4543;8926;8109;345;109;584;469;58;406;
31;DKI Jakarta;2151041;5356;1851;-12;10036;3366;7028;29;337;168;112;472;69072;10920;1114;93;505;8784;8751;242;188;549;524;447;610;
32;Jawa Barat;1752071;1608;1258;69;9407;2896;7453;245;55;278;2164;768;584903;56736;1328;1095;4666;7662;8552;4876;1545;849;734;372;592;
33;Jawa Tengah;1157026;10028;159;144;8617;3411;7556;265;558;231;3459;815;811039;51887;1361;1086;4742;7315;8132;5087;2070;853;764;315;575;
34;DI Yogyakarta;1245905;1947;1159;124;8528;3255;7798;59;408;67;390;597;129289;4736;1177;846;471;8010;8873;364;107;590;467;58;406;
35;Jawa Timur;1935810;22039;1159;153;8571;4616;7617;268;559;309;7674;895;862057;115414;1367;1166;4607;6936;8179;5121;3178;854;806;379;594;
36;Banten;5317353;4435;969;15;8814;6;8185;61;411;149;385;595;90908;6184;1142;873;457;7517;8455;1146;309;704;573;96;456;
51;Bali;168186;3809;1153;12;955;3489;6424;129;486;134;762;664;120752;5035;117;852;4905;7756;8547;591;308;638;573;87;447;
52;Nusa Tenggara Barat;109415;2924;1358;302;7639;4475;8377;22;309;107;545;63;131958;18004;1179;98;4559;6852;6611;963;537;687;629;47;385;
53;Nusa Tenggara Timur;7804457;2826;805;204;8452;4351;898;11;24;104;1091;699;124566;1374;1173;723;4232;5484;6775;1539;557;734;632;60;409;
61;Kalimantan Barat;1625745;3518;906;214;7643;4091;6041;17;283;126;815;67;47435;1021;1077;693;4467;7157;7903;1448;278;728;563;75;432;
62;Kalimantan Tengah;1186823;2993;444;19;7986;2339;887;7;195;11;447;61;27952;599;1024;64;4109;7523;824;922;244;683;550;44;378;
63;Kalimantan Selatan;1567569;1932;432;241;7509;538;8376;15;271;66;389;596;64528;2842;1107;795;4462;7482;7176;1007;476;691;617;70;425;
64;Kalimantan Timur;570824;2994;796;202;8501;5048;7556;17;283;11;567;634;34586;1055;1045;696;4445;8444;8063;773;207;665;533;110;470;
71;Sulawesi Utara;107575;3353;633;317;8246;2333;7571;15;271;121;288;566;59112;1849;1099;752;4286;6844;742;807;522;669;626;60;409;
72;Sulawesi Tengah;2122815;1554;482;267;8178;2578;8235;7;195;44;354;587;69057;7072;1114;886;4382;6244;6047;1116;360;702;589;48;387;
73;Sulawesi Selatan;3961417;4977;281;182;7984;2325;9147;25;322;16;586;637;119613;4313;1169;837;4226;7010;7181;1953;707;758;656;132;488;
74;Sulawesi Tenggara;1139895;2199;63;398;7646;4275;8738;15;271;79;336;582;47415;1738;1077;746;4344;7036;6405;831;376;672;593;44;378;
75;Gorontalo;3294962;1065;281;1146;6491;2469;9101;2;69;6;156;505;38089;836;1055;673;4421;6592;6436;345;286;584;566;19;294;
76;Sulawesi Barat;3708807;871;226;464;569;496;6494;3;11;677;105;465;21947;541;10;629;4165;6661;5911;344;105;584;465;17;283;
81;Maluku;3720936;2515;195;296;7487;1458;9334;1;0;92;173;515;61308;199;1102;529;4169;5996;6568;823;222;671;540;36;358;
82;Maluku Utara;5515233;1139;271;512;6666;281;8851;5;161;13;139;493;17016;322;974;577;3832;5917;6845;708;190;656;525;22;309;
92;Papua Barat;4948623;446;1068;127;8988;619;7577;3;11;61;62;413;5553;284;862;565;4101;6296;755;441;148;609;500;29;337;
91;Papua;5158716;933;1626;-16;10088;4179;6399;7;195;684;68;422;12951;465;947;614;4046;6224;7411;563;205;633;532;65;417;
